Cấp học,Năm học,Giáo viên (nghìn),Học sinh (nghìn),Lớp (nghìn),Trường,HS/GV,HS/Lớp,Học sinh nữ (nghìn),Nữ giáo viên (nghìn)
Tiểu học,2004,362.4,7744.8,288.9,14518.0,17.1,25.86,3691.8,282.2
Tiểu học,2005,354.8,7304.0,276.6,14688.0,17.23,24.99,3523.2,276.3
Tiểu học,2006,349.5,7029.4,270.2,14834.0,17.4,25.2,3407.5,272.0
Tiểu học,2007,348.7,6860.3,266.4,14933.0,17.45,25.3,3284.2,272.4
Tiểu học,2008,349.7,6731.6,265.1,15051.0,17.5,25.66,3230.7,273.1
Tiểu học,2009,355.2,6908.0,268.1,15172.0,17.9,25.7,3322.1,275.6
Tiểu học,2010,365.8,7043.3,272.4,15242.0,18.3,25.9,3392.1,283.9
Tiểu học,2011,366.0,7101.0,274.7,15337.0,18.62,26.2,3447.6,283.3
Tiểu học,2012,381.4,7202.8,275.0,15361.0,18.64,26.4,3444.7,293.3
Tiểu học,2013,386.9,7435.6,279.0,15337.0,19.2,26.7,3559.8,292.5
Tiểu học,2014,392.1,7543.7,279.9,15277.0,19.2,27.0,3611.2,304.4
Tiểu học,2015,396.853,7790.009,283.49,15254.0,19.6294572549533,27.4789551659671,3735.2,308.9
Tiểu học,2016,397.098,7801.56,277.526,15052.0,19.6464348850913,28.1110958973213,3733.3,291.4
Tiểu học,2017,396.6,8041.842,279.97,14937.0,20.2769591527988,28.7239418509126,3847.5,309.8
Tiểu học,2018,390.7,8506.562,278.955,13970.0,21.7726183772716,30.494387983725,4063.365,303.529
Tiểu học,2019,377.876,8718.356,279.646,12961.0,23.0720024558321,31.1764015934431,4165.968,296.8
Tiểu học,2020,384.737,8884.964,283.817,12665.0,23.0936042023512,31.3052565561612,4237.738,302.697
Tiểu học,2021,382.525,9212.036,288.541,12526,24.0822,31.9263,4400.808,301.85
Trung học cơ sở,2004,302.5,6616.7,170.9,9041.0,14.7,31.5,3194.0,204.4
Trung học cơ sở,2005,310.2,6371.3,167.5,9383.0,14.8,31.7,3094.4,208.8
Trung học cơ sở,2006,314.9,6152.0,163.8,9635.0,15.1,31.92,2965.1,213.8
Trung học cơ sở,2007,317.5,5803.3,160.2,9781.0,15.3,32.2,2830.4,215.0
Trung học cơ sở,2008,317.0,5468.7,154.3,9902.0,15.5,32.4,2661.0,213.3
Trung học cơ sở,2009,317.2,5163.2,150.0,10064.0,15.4,32.6,2515.3,216.8
Trung học cơ sở,2010,316.2,4945.2,151.2,10143.0,15.6,32.7,2416.5,215.7
Trung học cơ sở,2011,312.0,4926.4,147.1,10243.0,15.66,33.1,2388.2,213.1
Trung học cơ sở,2012,315.2,4869.8,145.4,10290.0,15.55,33.3,2363.6,212.1
Trung học cơ sở,2013,315.6,4932.4,147.4,10290.0,15.6,33.5,2401.8,214.0
Trung học cơ sở,2014,312.6,5098.8,150.7,10293.0,16.3,33.8,2489.5,213.6
Trung học cơ sở,2015,313.526,5138.656,153.438,10312.0,16.3898879199811,33.4901132705067,2506.6,214.4
Trung học cơ sở,2016,310.953,5235.524,151.669,10155.0,16.8370268175576,34.5194073937324,2552.4,211.4
Trung học cơ sở,2017,306.11,5373.639,153.58,10091.0,17.554601287119,34.9891847896862,2617.0,209.9
Trung học cơ sở,2018,294.097,5455.875,151.9,9551.0,18.5512772996664,35.9014726784586,2651.627,200.958
Trung học cơ sở,2019,284.139,5599.918,153.322,9047.0,19.7083751262586,36.5239039407261,2713.713,196.419
Trung học cơ sở,2020,286.668,5910.423,157.951,8820.0,20.6176587550756,37.4193452399795,2857.284,199.088
Trung học cơ sở,2021,285.305,5927.42,159.062,8743.0,20.7757,37.2648,2858.95,198.923
Trung học phổ thông,2004,106.1,2761.1,59.9,1828.0,17.9,38.6,1349.0,59.7
Trung học phổ thông,2005,115.5,2975.3,64.6,1952.0,18.2,39.3,1468.4,65.2
Trung học phổ thông,2006,125.2,3075.2,67.2,2044.0,18.9,40.9,1514.9,71.5
Trung học phổ thông,2007,134.4,3021.6,68.6,2149.0,19.2,41.7,1556.8,77.0
Trung học phổ thông,2008,140.2,2927.6,66.8,2192.0,19.6,42.6,1543.0,82.1
Trung học phổ thông,2009,146.3,2840.9,66.4,2267.0,19.3,42.1,1499.9,86.7
Trung học phổ thông,2010,148.9,2804.3,66.9,2288.0,18.8,41.9,1495.8,90.4
Trung học phổ thông,2011,150.1,2755.2,66.3,2350.0,18.2,40.8,1466.2,92.0
Trung học phổ thông,2012,150.9,2674.5,65.9,2361.0,17.5,40.1,1418.5,91.4
Trung học phổ thông,2013,152.7,2532.7,64.4,2404.0,16.6,39.3,1339.6,93.9
Trung học phổ thông,2014,152.0,2439.9,63.9,2386.0,16.1,38.2,1296.2,95.9
Trung học phổ thông,2015,150.9,2425.13,64.105,2399.0,16.0711066931743,37.8305904375634,1298.3,95.5
Trung học phổ thông,2016,150.721,2477.175,65.094,2391.0,16.4355000298565,38.055350723569,1332.7,95.7
Trung học phổ thông,2017,150.288,2508.564,65.8,2398.0,16.6917119131268,38.1240729483283,1344.5,96.0
Trung học phổ thông,2018,141.853,2563.431,66.419,2386.0,18.0710383284104,38.5948448486126,1377.782,91.655
Trung học phổ thông,2019,142.494,2648.697,67.525,2371.0,18.5881300265274,39.2254276194002,1416.603,92.361
Trung học phổ thông,2020,145.298,2751.6,69.211,2373.0,18.9379757463971,39.7574085044285,1468.214,94.889
Trung học phổ thông,2021,145.376,2781.684,69.8,2375.0,19.1,39.8813,1480.811,95.2
