asset_percent,asset_type,short_name
47.92,Trái phiếu,VCBF-FIF
52.08,Tiền và tương đương tiền,VCBF-FIF
69.27,Trái phiếu,PVBF
30.73,Tiền và tương đương tiền,PVBF
83.44,Trái phiếu,VNDBF
16.56,Tiền và tương đương tiền,VNDBF
71.98,Trái phiếu,MAFF
28.02,Tiền và tương đương tiền,MAFF
42.5,Trái phiếu,VFF
57.5,Tiền và tương đương tiền,VFF
73.02,Trái phiếu,MBBOND
26.98,Tiền và tương đương tiền,MBBOND
58.45,Trái phiếu,ABBF
41.55,Tiền và tương đương tiền,ABBF
57.15,Trái phiếu,DCBF
42.85,Tiền và tương đương tiền,DCBF
36.7,Trái phiếu,SSIBF
13.19,Tiền và tương đương tiền,SSIBF
50.11,Khác,SSIBF
28.28,Trái phiếu,BVBF
71.72,Tiền và tương đương tiền,BVBF
93.95,Cổ phiếu,MBVF
6.05,Tiền và tương đương tiền,MBVF
97.8,Tiền và tương đương tiền,ASBF
2.2,Khác,ASBF
31.18,Trái phiếu,DCIP
68.82,Tiền và tương đương tiền,DCIP
43.14,Trái phiếu,VLBF
56.86,Tiền và tương đương tiền,VLBF
91.43,Cổ phiếu,VCBF-MGF
8.57,Tiền và tương đương tiền,VCBF-MGF
61.49,Cổ phiếu,VCBF-TBF
15.17,Trái phiếu,VCBF-TBF
23.34,Tiền và tương đương tiền,VCBF-TBF
28.87,Trái phiếu,DFIX
71.13,Tiền và tương đương tiền,DFIX
87.49,Cổ phiếu,BVPF
12.51,Tiền và tương đương tiền,BVPF
93.06,Cổ phiếu,SSISCA
6.94,Tiền và tương đương tiền,SSISCA
44.11,Cổ phiếu,VIBF
12.45,Trái phiếu,VIBF
43.33,Tiền và tương đương tiền,VIBF
0.11,Khác,VIBF
67.71,Cổ phiếu,VCAMBF
32.29,Tiền và tương đương tiền,VCAMBF
91.48,Cổ phiếu,VLGF
8.52,Tiền và tương đương tiền,VLGF
47.77,Cổ phiếu,MAFBAL
17.63,Trái phiếu,MAFBAL
28.83,Tiền và tương đương tiền,MAFBAL
5.77,Khác,MAFBAL
78.83,Cổ phiếu,DCDS
21.17,Tiền và tương đương tiền,DCDS
96.03,Cổ phiếu,VCBF-BCF
3.97,Tiền và tương đương tiền,VCBF-BCF
67.74,Cổ phiếu,ENF
4.68,Trái phiếu,ENF
27.58,Tiền và tương đương tiền,ENF
93.11,Cổ phiếu,VESAF
6.89,Tiền và tương đương tiền,VESAF
97.73,Cổ phiếu,BVFED
2.27,Tiền và tương đương tiền,BVFED
81.75,Cổ phiếu,DCDE
18.25,Tiền và tương đương tiền,DCDE
93.79,Cổ phiếu,VEOF
6.21,Tiền và tương đương tiền,VEOF
88.83,Cổ phiếu,MAGEF
11.17,Tiền và tương đương tiền,MAGEF
92.74,Cổ phiếu,MAFEQI
7.26,Tiền và tương đương tiền,MAFEQI
78.41,Cổ phiếu,VNDAF
21.59,Tiền và tương đương tiền,VNDAF
90.43,Cổ phiếu,DCAF
9.57,Tiền và tương đương tiền,DCAF
63.25,Cổ phiếu,TBLF
36.75,Tiền và tương đương tiền,TBLF
13.61,Cổ phiếu,LHBF
76.59,Trái phiếu,LHBF
9.8,Tiền và tương đương tiền,LHBF
41.76,Trái phiếu,VNDCF
58.24,Tiền và tương đương tiền,VNDCF
77.29,Trái phiếu,VCAMFI
22.71,Tiền và tương đương tiền,VCAMFI
25.88,Cổ phiếu,HDBOND
61.18,Trái phiếu,HDBOND
12.94,Tiền và tương đương tiền,HDBOND
29.75,Cổ phiếu,UVDIF
45.26,Trái phiếu,UVDIF
24.99,Tiền và tương đương tiền,UVDIF
67.76,Cổ phiếu,TCGF
32.24,Tiền và tương đương tiền,TCGF
93.37,Cổ phiếu,LHCDF
6.63,Tiền và tương đương tiền,LHCDF
61.34,Cổ phiếu,VCAMDF
38.66,Tiền và tương đương tiền,VCAMDF
62.06,Cổ phiếu,MDI
37.6,Tiền và tương đương tiền,MDI
0.34,Khác,MDI
99.41,Cổ phiếu,GFM-VIF
0.59,Tiền và tương đương tiền,GFM-VIF
95.76,Cổ phiếu,VDEF
4.24,Tiền và tương đương tiền,VDEF
88.75,Cổ phiếu,UVEEF
11.25,Tiền và tương đương tiền,UVEEF
93.73,Cổ phiếu,VMEEF
6.27,Tiền và tương đương tiền,VMEEF
86.52,Cổ phiếu,PHVSF
13.48,Tiền và tương đương tiền,PHVSF
71.09,Cổ phiếu,PBIF
24.58,Trái phiếu,PBIF
4.33,Tiền và tương đương tiền,PBIF
97.8,Cổ phiếu,NTPPF
2.2,Tiền và tương đương tiền,NTPPF
37.59,Cổ phiếu,RVPIF
62.41,Tiền và tương đương tiền,RVPIF
91.24,Cổ phiếu,VCBF-AIF
8.76,Tiền và tương đương tiền,VCBF-AIF
